title_href,selling_proposition,price,discount,available_color,product_title,main_category
,60+ sold recently,6.7,9.0,1.0,"SHEIN Vintaside Kids New Summer Style Baby Girls' High-Quality Embroidered Vest With Simple Countryside Style, Bamboo Cotton A-Line Sleeveless Dress With Full Front Button Opening",Baby & Maternity
,1.1k+ sold recently,7.5,6.0,10.0,SHEIN Baby Boy Slogan Graphic Hooded Tank Top & Shorts,Baby & Maternity
,700+ sold recently,8.6,8.0,1.0,Baby Girl Casual Polo Shirt With Bee Embroidery And Pleated Skirt Set For Summer,Baby & Maternity
,70+ sold recently,5.8,0.0,1.0,"2pcs Little Girls' Elegant Sweet Strawberry & Letter Print Ruffle Top And Striped Strawberry Print Shorts, Suitable For Casual, Daily, Vacation, Party",Baby & Maternity
,,2.7,7.0,6.0,2pcs Girls Heart Pattern Hair Bonnet,Baby & Maternity
,1.1k+ sold recently,7.7,9.0,1.0,SHEIN Baby Girl Casual Solid Color Vest And Geometric Pattern Belted Shorts Set For Summer,Baby & Maternity
,,4.8,0.0,1.0,"1pc Adjustable Baby Car Seat Headrest Pillow - Neck And Head Support For Infants, Child Car Safety Cushion",Baby & Maternity
,2.6k+ sold recently,13.9,9.0,7.0,Baby Girl Simple Korean-Style Multi-Colored Spaghetti Strap Romper,Baby & Maternity
,1.3k+ sold recently,6.6,10.0,5.0,Baby Girl Floral Embroidery Dual Pocket Dress With Headband,Baby & Maternity
,3.8k+ sold recently,6.8,9.0,9.0,Baby Boy Solid Button Front Shirt & Shorts,Baby & Maternity
,,12.4,8.0,7.0,Baby Girl Puff Sleeve Ripped Belted Denim Jumpsuit,Baby & Maternity
,600+ sold recently,6.55,33.0,6.0,Baby Girl Ruffle Trim Bow Front Blouse & Swiss Dot Skirt,Baby & Maternity
,200+ sold recently,1.5,0.0,1.0,1 Pack Baby Growing Souvenir Diy Soft Clay Print Paste,Baby & Maternity
,,14.7,0.0,1.0,"Baby Girl Summer Solid Color Shorts Set Of 7, Casual And Versatile",Baby & Maternity
